         825893 function calls (811708 primitive calls) in 0.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.001    0.000    0.941    0.017 __init__.py:1(<module>)
    530/1    0.025    0.000    0.475    0.475 {built-in method builtins.exec}
        1    0.000    0.000    0.397    0.397 __init__.py:194(console_main)
        1    0.001    0.001    0.397    0.397 __init__.py:139(main)
   442/20    0.002    0.000    0.365    0.018 <frozen importlib._bootstrap>:1349(_find_and_load)
   438/20    0.001    0.000    0.365    0.018 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   419/22    0.001    0.000    0.362    0.016 <frozen importlib._bootstrap>:911(_load_unlocked)
   885/46    0.002    0.000    0.352    0.008 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   349/27    0.001    0.000    0.324    0.012 <frozen importlib._bootstrap_external>:1017(exec_module)
        1    0.000    0.000    0.322    0.322 __init__.py:319(_prepareconfig)
    73/68    0.000    0.000    0.307    0.005 _manager.py:111(_hookexec)
    73/68    0.000    0.000    0.307    0.005 _callers.py:76(_multicall)
      2/1    0.000    0.000    0.306    0.306 _hooks.py:497(__call__)
        1    0.000    0.000    0.306    0.306 __init__.py:1519(parse)
        1    0.000    0.000    0.306    0.306 __init__.py:1385(_preparse)
   105/55    0.000    0.000    0.282    0.005 {built-in method builtins.__import__}
     12/2    0.000    0.000    0.272    0.136 __init__.py:71(import_module)
     14/2    0.000    0.000    0.272    0.136 <frozen importlib._bootstrap>:1375(_gcd_import)
     36/3    0.000    0.000    0.272    0.091 rewrite.py:146(exec_module)
        1    0.000    0.000    0.213    0.213 __init__.py:547(_set_initial_conftests)
        1    0.000    0.000    0.213    0.213 __init__.py:613(_try_load_conftest)
        1    0.000    0.000    0.213    0.213 __init__.py:638(_loadconftestmodules)
        1    0.000    0.000    0.213    0.213 __init__.py:687(_importconftest)
        1    0.000    0.000    0.213    0.213 pathlib.py:489(import_path)
        1    0.000    0.000    0.212    0.212 conftest.py:1(<module>)
        1    0.000    0.000    0.211    0.211 base_collector.py:1(<module>)
        1    0.000    0.000    0.142    0.142 rate_limit_utils.py:1(<module>)
        1    0.000    0.000    0.142    0.142 settings.py:1(<module>)
        1    0.000    0.000    0.131    0.131 config_manager.py:1(<module>)
1414/1395    0.012    0.000    0.128    0.000 {built-in method builtins.__build_class__}
  483/300    0.000    0.000    0.106    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.104    0.104 config_schema.py:1(<module>)
        1    0.000    0.000    0.072    0.072 code.py:695(getrepr)
        1    0.000    0.000    0.072    0.072 code.py:1177(repr_excinfo)
        1    0.000    0.000    0.071    0.071 code.py:1115(repr_traceback)
        6    0.000    0.000    0.071    0.012 code.py:1053(repr_traceback_entry)
        6    0.000    0.000    0.069    0.012 code.py:902(_getentrysource)
        6    0.000    0.000    0.069    0.012 code.py:284(getsource)
       41    0.001    0.000    0.069    0.002 _model_construction.py:80(__new__)
        1    0.000    0.000    0.063    0.063 _manager.py:392(load_setuptools_entrypoints)
        1    0.000    0.000    0.060    0.060 __init__.py:173(load)
11323/10716    0.003    0.000    0.051    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.047    0.008 source.py:179(getstatementrange_ast)
      9/7    0.000    0.000    0.047    0.007 __init__.py:416(__getattr__)
      349    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
